# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single LED (low energy detector) count.
#
# tus -- time of the count, microsecond
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# add -- address of the count within the DAU (each DAU has 32 addresses: [0:31])
# chn -- channel of the count for each address (each address has 128 channels: [0:127])
# mlh -- "multihit" flag of the count, meaning how many simultaneous counts were detected: [0:3]
#         0 --> a single count
#         1 --> 2 counts
#         2 --> 3 counts
#         3 --> 4+ counts
#
#
#
#     tus      erg   dau  add    chn   mlh
#
 -855876     385    3    13     28    0 
 -855783     773    2    11     43    0 
 -855633     272    2    15    114    0 
 -855540     671    1    21     17    0 
 -855536     190    3    31     87    0 
 -855485     891    2    30     98    1 
 -855484     260    0    23     26    0 
 -855484     228    1    12     39    0 
 -855484     687    3    16     23    0 
 -855484     639    0    30      9    0 
 -855484     444    2     0     25    0 
 -855484     347    2    15     89    0 
 -855348     894    2     2     88    0 
 -855348     429    2    15     65    0 
 -855348    1010    0    17    127    1 
 -855348    1023    2    23    127    3 
 -855348    1023    2    31    127    3 
 -855347     459    0     8     88    0 
 -854841     493    1     2      1    0 
 -854694     245    1    26     11    0 
 -854015     313    2    13    127    0 
 -853856     324    0    28     86    0 
 -853839     851    0     7      4    0 
 -853839     914    0    15     65    0 
 -853717     465    3    23     34    0 
 -853717     528    3    31     19    0 
 -853535     498    2    17     94    0 
 -853507     864    0     3    124    0 
 -853403     994    0     7    123    2 
 -853240     201    3     7     41    0 
 -853019     836    0    10     72    0 
 -852835     346    3    30     89    0 
 -852720     370    2    11     75    0 
 -852659     612    0     9     58    0 
 -852551     945    1     4     85    0 
 -851545     414    2    14     16    0 
 -851417     304    2    11    119    0 
 -851380     881    2    18    104    0 
