# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single HED count.
#
# tus -- time of the count, microsecond
# ttk -- submicrosecond time of the count, in units of 1/36e6 s (which means 1/36 of a microsecond)
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# det -- detector of the count within the DAU (each DAU has three detectors: 0, 1, 2)
# typ -- type of the count: 0 corresponds to NORMAL event, 1 corresponds to FAST event
#
#
#
#    tus    ttk     erg   dau  det  typ
#
-931536     7     190    0    0    0 
-931321    23      72    3    1    0 
-931187    28    1964    0    2    0 
-931187    28    1808    0    0    0 
-931187    28    1809    0    1    0 
-931187    32     163    2    0    0 
-931187    32      61    1    0    0 
-931187    34      44    1    1    0 
-931173    31     236    0    0    0 
-930410    10     985    2    2    0 
-930321    23     110    2    1    0 
-929999    29      52    0    1    0 
-929922    13      31    1    1    0 
-929714    20    1662    1    1    0 
-929714    25     484    1    0    0 
-929635    19    1660    2    0    0 
-929635    20    1567    3    1    0 
-929635    24     600    2    1    0 
-929487    19     135    3    2    0 
-929333    33     236    0    0    0 
-929130     3      30    0    0    0 
-928635    30    1919    1    1    0 
-928635    30    2083    1    2    0 
-928635    32    1755    3    2    0 
-928635    35      45    0    0    0 
-928634     0    1084    3    1    0 
-928634     1     416    3    0    0 
-928634     1    1136    1    0    0 
-928634     1     744    0    2    0 
-928634     2      24    0    1    0 
-928634     5      83    2    0    0 
-928485    16      41    0    0    0 
-928051    27     957    0    0    0 
-927680    31      63    2    2    0 
-927672    18      73    1    0    0 
-927668    27    1490    1    1    0 
-927668    30     455    1    2    0 
-927651    30      37    0    1    0 
-927434    17    1700    3    0    0 
-927032    23      30    0    2    0 
-927032    23      38    1    1    0 
-927032    24      19    2    1    0 
-927032    24      71    0    0    0 
-927032    25      31    1    2    0 
-926911    26      20    2    0    0 
-926386    12      83    2    2    0 
-926328     3      31    2    0    0 
-925954    11      38    1    1    0 
-925945    31      93    2    0    0 
-925945    33      48    0    2    0 
-925655    35      19    2    2    0 
-925375     8    1416    3    1    0 
-925239    26    1682    3    0    0 
-924842    17     109    0    1    0 
-924550     4     235    0    0    0 
-924473    26      39    3    0    0 
-924153     2      38    3    2    0 
-923901     5     305    0    0    0 
-923390     9      65    0    2    0 
-923342    19      50    1    1    0 
-923107    28    1648    2    2    0 
-922562    29      26    0    1    0 
-922562    32      44    0    0    0 
-922209    22     114    0    2    0 
-921994    19    1670    1    2    0 
-921072    19      34    2    2    0 
-921003    10      32    1    2    0 
-920932    33    1824    3    2    0 
-919752    20      55    1    2    0 
-919730    33     118    0    2    0 
-919729     0      19    2    1    0 
-919664     7     148    0    0    0 
-919502    17      40    2    1    0 
-919425    35      40    1    2    0 
-919342     4     233    1    1    0 
-919342     4      32    1    2    0 
-919326     2    1632    2    1    0 
-919326     2    1817    0    0    0 
-919295    31    1706    1    2    0 
-919294     1     507    1    1    0 
-919234    29    1715    3    0    0 
-919128     4      32    3    0    0 
-918957     9     155    1    0    0 
-918745     7    1575    0    1    0 
-918745    12      21    2    1    0 
-918593    12    1965    3    2    0 
-918593    13    1616    3    1    0 
-918593    14    1567    2    0    0 
-918593    16     124    0    2    0 
-918593    16    1367    3    0    0 
-918593    18      92    1    0    0 
-918593    18      86    2    1    0 
-918477    30      89    0    0    0 
-918464    24      27    2    0    0 
-918442    22     249    2    1    0 
-918442    23      24    2    2    0 
-918312     1      53    0    0    0 
-918312     1      62    2    0    0 
-917948     4    1523    3    2    0 
-917948     6     112    2    0    0 
-917197     1    1302    0    1    0 
-917005    25    1558    0    1    0 
-916899    31      38    0    2    0 
-916260     2     119    3    2    0 
-916060    29      17    2    1    0 
-915986    20      47    1    0    0 
-915790    11     166    3    1    0 
-915732    19      35    0    2    0 
-915321    15    1770    0    0    0 
-915198     8    1388    2    0    0 
-914915     0      24    2    1    0 
-914691    34     231    1    0    0 
